општина,конто,опис конта,република ,аутономна покрајина,општина града,ООСО,донације,остали извори,укупно
БАТОЧИНА,452,СУБВЕНЦИЈЕ ПРИВАТНИМ ФИНАНСИЈСКИМ ИНСТИТУЦИЈАМА (5283 + 5284),0,0,0,0,0,0,0
БАТОЧИНА,453,СУБВЕНЦИЈЕ ЈАВНИМ ФИНАНСИЈСКИМ ИНСТИТУЦИЈАМА (5286 + 5287),0,0,0,0,0,0,0
БАТОЧИНА,454,СУБВЕНЦИЈЕ ПРИВАТНИМ ПРЕДУЗЕЋИМА (5289 + 5290),0,0,0,0,0,0,0
БАТОЧИНА,461,ДОНАЦИЈЕ СТРАНИМ ВЛАДАМА (5293 + 5294),0,0,0,0,0,0,0
БАТОЧИНА,462,ДОТАЦИЈЕ МЕЂУНАРОДНИМ ОРГАНИЗАЦИЈАМА (5296 + 5297),0,0,0,0,0,0,0
БАТОЧИНА,463,ТРАНСФЕРИ ОСТАЛИМ НИВОИМА ВЛАСТИ (5299 + 5300),464,0,14125,0,0,0,14589
БАТОЧИНА,464,ДОТАЦИЈЕ ОРГАНИЗАЦИЈАМА ОБАВЕЗНОГ СОЦИЈАЛНОГ ОСИГУРАЊА (5302 + 5303),0,0,0,0,0,0,0
БАТОЧИНА,465,ОСТАЛЕ ДОТАЦИЈЕ И ТРАНСФЕРИ (5305 + 5306),0,0,0,0,0,0,0
БАТОЧИНА,471,ПРАВА ИЗ СОЦИЈАЛНОГ ОСИГУРАЊА (ОРГАНИЗАЦИЈЕ ОБАВЕЗНОГ СОЦИЈАЛНОГ ОСИГУРАЊА) (од 5309 до 5311),0,0,0,0,0,0,0
БАТОЧИНА,472,НАКНАДЕ ЗА СОЦИЈАЛНУ ЗАШТИТУ ИЗ БУЏЕТА (од 5313 до 5321),0,0,1204,0,0,0,1204
БАТОЧИНА,481,ДОТАЦИЈЕ НЕВЛАДИНИМ ОРГАНИЗАЦИЈАМА (5324 + 5325),0,0,16327,0,0,1502,17829
БАТОЧИНА,482,"ПОРЕЗИ, ОБАВЕЗНЕ ТАКСЕ И КАЗНЕ (од 5327 до 5329)",6,0,307,0,0,78,391
БАТОЧИНА,483,НОВЧАНЕ КАЗНЕ И ПЕНАЛИ ПО РЕШЕЊУ СУДОВА (5331),0,0,54,0,0,15,69
БАТОЧИНА,484,НАКНАДА ШТЕТЕ ЗА ПОВРЕДЕ ИЛИ ШТЕТУ НАСТАЛУ УСЛЕД ЕЛЕМЕНТАРНИХ НЕПОГОДА ИЛИ ДРУГИХ ПРИРОДНИХ УЗРОКА (5333 + 5334),0,0,0,0,0,0,0
БАТОЧИНА,485,НАКНАДА ШТЕТЕ ЗА ПОВРЕДЕ ИЛИ ШТЕТУ НАНЕТУ ОД СТРАНЕ ДРЖАВНИХ ОРГАНА (5336),0,0,100,0,0,0,100
БАТОЧИНА,489,РАСХОДИ КОЈИ СЕ ФИНАНСИРАЈУ ИЗ СРЕДСТАВА ЗА РЕАЛИЗАЦИЈУ НАЦИОНАЛНОГ ИНВЕСТИЦИОНОГ ПЛАНА (5338),0,0,0,0,0,0,0
БАТОЧИНА,511,ЗГРАДЕ И ГРАЂЕВИНСКИ ОБЈЕКТИ (од 5342 до 5345),4906,0,12217,0,1598,326,19047
БАТОЧИНА,512,МАШИНЕ И ОПРЕМА (од 5347 до 5355),592,0,2145,0,1219,407,4363
БАТОЧИНА,513,ОСТАЛЕ НЕКРЕТНИНЕ И ОПРЕМА (5357),0,0,0,0,0,0,0
БАТОЧИНА,514,КУЛТИВИСАНА ИМОВИНА (5359),0,0,0,0,0,0,0
БАТОЧИНА,515,НЕМАТЕРИЈАЛНА ИМОВИНА (5361),0,0,100,0,0,92,192
БАТОЧИНА,521,РОБНЕ РЕЗЕРВЕ (5364),0,0,0,0,0,0,0
БАТОЧИНА,522,ЗАЛИХЕ ПРОИЗВОДЊЕ (од 5366 до 5368),0,0,0,0,0,0,0
БАТОЧИНА,523,ЗАЛИХЕ РОБЕ ЗА ДАЉУ ПРОДАЈУ (5370),0,0,0,0,0,0,0
БАТОЧИНА,531,ДРАГОЦЕНОСТИ (5373),0,0,0,0,0,0,0
БАТОЧИНА,541,ЗЕМЉИШТЕ (5376),0,0,210,0,0,0,210
БАТОЧИНА,542,РУДНА БОГАТСТВА (5378),0,0,0,0,0,0,0
БАТОЧИНА,543,ШУМЕ И ВОДЕ (5380 + 5381),0,0,0,0,0,0,0
БАТОЧИНА,551,НЕФИНАНСИЈСКА ИМОВИНА КОЈА СЕ ФИНАНСИРА ИЗ СРЕДСТАВА ЗА РЕАЛИЗАЦИЈУ НАЦИОНАЛНОГ ИНВЕСТИЦИОНОГ ПЛАНА (5384),0,0,0,0,0,0,0
БАТОЧИНА,611,ОТПЛАТА ГЛАВНИЦЕ ДОМАЋИМ КРЕДИТОРИМА (од 5388 до 5396),0,0,6303,0,0,0,6303
БАТОЧИНА,612,ОТПЛАТА ГЛАВНИЦЕ СТРАНИМ КРЕДИТОРИМА (од 5398 до 5404),0,0,0,0,0,0,0
БАТОЧИНА,613,ОТПЛАТА ГЛАВНИЦЕ ПО ГАРАНЦИЈАМА (5406),0,0,0,0,0,0,0
БАТОЧИНА,614,ОТПЛАТА ГЛАВНИЦЕ ЗА ФИНАНСИЈСКИ ЛИЗИНГ (5408),0,0,0,0,0,0,0
БАТОЧИНА,621,НАБАВКА ДОМАЋЕ ФИНАНСИЈСКЕ ИМОВИНЕ (од 5411 до 5419),0,0,0,0,0,0,0
БАТОЧИНА,622,НАБАВКА СТРАНЕ ФИНАНСИЈСКЕ ИМОВИНЕ (од 5421 до 5428),0,0,0,0,0,0,0
БАТОЧИНА,623,НАБАВКА ФИНАНСИЈСКЕ ИМОВИНЕ КОЈА СЕ ФИНАНСИРА ИЗ СРЕДСТАВА ЗА РЕАЛИЗАЦИЈУ НАЦИОНАЛНОГ ИНВЕСТИЦИОНОГ ПЛАНА (5430),0,0,0,0,0,0,0
БАЈИНА БАШТА,411,"ПЛАТЕ, ДОДАЦИ И НАКНАДЕ ЗАПОСЛЕНИХ (ЗАРАДЕ) (5174)",6282,0,69423,0,0,49333,125038
БАЈИНА БАШТА,412,СОЦИЈАЛНИ ДОПРИНОСИ НА ТЕРЕТ ПОСЛОДАВЦА (од 5176 до 5178),0,0,12425,0,0,9703,22128
БАЈИНА БАШТА,413,НАКНАДЕ У НАТУРИ (5180),0,0,326,0,0,22,348
БАЈИНА БАШТА,414,СОЦИЈАЛНА ДАВАЊА ЗАПОСЛЕНИМА (од 5182 до 5185),851,0,3121,0,0,1439,5411
БАЈИНА БАШТА,415,НАКНАДА ТРОШКОВА ЗА ЗАПОСЛЕНЕ (5187),0,0,21,0,0,1762,1783
БАЈИНА БАШТА,416,НАГРАДЕ ЗАПОСЛЕНИМА И ОСТАЛИ ПОСЕБНИ РАСХОДИ (5189),0,0,0,0,0,148,148
БАЈИНА БАШТА,417,ПОСЛАНИЧКИ ДОДАТАК (5191),0,0,0,0,0,0,0
БАЈИНА БАШТА,418,СУДИЈСКИ ДОДАТАК (5193),0,0,0,0,0,0,0
БАЈИНА БАШТА,421,СТАЛНИ ТРОШКОВИ (од 5196 до 5202),0,0,28931,0,0,20195,49126
БАЈИНА БАШТА,422,ТРОШКОВИ ПУТОВАЊА (од 5204 до 5208),0,0,2999,0,0,1077,4076
БАЈИНА БАШТА,423,УСЛУГЕ ПО УГОВОРУ (од 5210 до 5217),0,0,30185,0,50,30863,61098
БАЈИНА БАШТА,424,СПЕЦИЈАЛИЗОВАНЕ УСЛУГЕ (од 5219 до 5225),0,0,28752,0,0,3704,32456
БАЈИНА БАШТА,425,ТЕКУЋЕ ПОПРАВКЕ И ОДРЖАВАЊЕ (5227 + 5228),0,0,76318,0,0,10017,86335
БАЈИНА БАШТА,426,МАТЕРИЈАЛ (од 5230 до 5238),0,0,10645,0,11,44888,55544
БАЈИНА БАШТА,431,АМОРТИЗАЦИЈА НЕКРЕТНИНА И ОПРЕМЕ (од 5241 до 5243),0,0,0,0,0,8495,8495
БАЈИНА БАШТА,432,АМОРТИЗАЦИЈА КУЛТИВИСАНЕ ИМОВИНЕ (5245),0,0,0,0,0,0,0
БАЈИНА БАШТА,433,УПОТРЕБА ДРАГОЦЕНОСТИ (5247),0,0,0,0,0,0,0
БАЈИНА БАШТА,434,УПОТРЕБА ПРИРОДНЕ ИМОВИНЕ (од 5249 до 5251),0,0,0,0,0,0,0
БАЈИНА БАШТА,435,АМОРТИЗАЦИЈА НЕМАТЕРИЈАЛНЕ ИМОВИНЕ (5253),0,0,0,0,0,0,0
БАЈИНА БАШТА,441,ОТПЛАТЕ ДОМАЋИХ КАМАТА (од 5256 до 5264),0,0,4179,0,0,3043,7222
БАЈИНА БАШТА,442,ОТПЛАТА СТРАНИХ КАМАТА (од 5266 до 5271),0,0,0,0,0,0,0
БАЈИНА БАШТА,443,ОТПЛАТА КАМАТА ПО ГАРАНЦИЈАМА (5273),0,0,0,0,0,0,0
БАЈИНА БАШТА,444,ПРАТЕЋИ ТРОШКОВИ ЗАДУЖИВАЊА (од 5275 до 5277),0,0,269,0,0,338,607
БАЈИНА БАШТА,451,СУБВЕНЦИЈЕ ЈАВНИМ НЕФИНАНСИЈСКИМ ПРЕДУЗЕЋИМА И ОРГАНИЗАЦИЈАМА (5280 + 5281),0,0,69851,0,0,937,70788
БАЈИНА БАШТА,452,СУБВЕНЦИЈЕ ПРИВАТНИМ ФИНАНСИЈСКИМ ИНСТИТУЦИЈАМА (5283 + 5284),0,0,0,0,0,0,0
БАЈИНА БАШТА,453,СУБВЕНЦИЈЕ ЈАВНИМ ФИНАНСИЈСКИМ ИНСТИТУЦИЈАМА (5286 + 5287),0,0,0,0,0,0,0
БАЈИНА БАШТА,454,СУБВЕНЦИЈЕ ПРИВАТНИМ ПРЕДУЗЕЋИМА (5289 + 5290),0,0,0,0,0,0,0
БАЈИНА БАШТА,461,ДОНАЦИЈЕ СТРАНИМ ВЛАДАМА (5293 + 5294),0,0,0,0,0,0,0
БАЈИНА БАШТА,462,ДОТАЦИЈЕ МЕЂУНАРОДНИМ ОРГАНИЗАЦИЈАМА (5296 + 5297),0,0,0,0,0,0,0
БАЈИНА БАШТА,463,ТРАНСФЕРИ ОСТАЛИМ НИВОИМА ВЛАСТИ (5299 + 5300),0,0,79809,0,0,0,79809
БАЈИНА БАШТА,464,ДОТАЦИЈЕ ОРГАНИЗАЦИЈАМА ОБАВЕЗНОГ СОЦИЈАЛНОГ ОСИГУРАЊА (5302 + 5303),0,0,0,0,0,0,0
БАЈИНА БАШТА,465,ОСТАЛЕ ДОТАЦИЈЕ И ТРАНСФЕРИ (5305 + 5306),0,0,0,0,0,0,0
БАЈИНА БАШТА,471,ПРАВА ИЗ СОЦИЈАЛНОГ ОСИГУРАЊА (ОРГАНИЗАЦИЈЕ ОБАВЕЗНОГ СОЦИЈАЛНОГ ОСИГУРАЊА) (од 5309 до 5311),0,0,0,0,0,0,0
БАЈИНА БАШТА,472,НАКНАДЕ ЗА СОЦИЈАЛНУ ЗАШТИТУ ИЗ БУЏЕТА (од 5313 до 5321),0,0,4010,0,0,238,4248
БАЈИНА БАШТА,481,ДОТАЦИЈЕ НЕВЛАДИНИМ ОРГАНИЗАЦИЈАМА (5324 + 5325),1000,0,22748,0,320,2237,26305
БАЈИНА БАШТА,482,"ПОРЕЗИ, ОБАВЕЗНЕ ТАКСЕ И КАЗНЕ (од 5327 до 5329)",0,0,397,0,0,1579,1976
БАЈИНА БАШТА,483,НОВЧАНЕ КАЗНЕ И ПЕНАЛИ ПО РЕШЕЊУ СУДОВА (5331),0,0,0,0,0,88,88
БАЈИНА БАШТА,484,НАКНАДА ШТЕТЕ ЗА ПОВРЕДЕ ИЛИ ШТЕТУ НАСТАЛУ УСЛЕД ЕЛЕМЕНТАРНИХ НЕПОГОДА ИЛИ ДРУГИХ ПРИРОДНИХ УЗРОКА (5333 + 5334),0,0,4252,0,0,0,4252
БАЈИНА БАШТА,485,НАКНАДА ШТЕТЕ ЗА ПОВРЕДЕ ИЛИ ШТЕТУ НАНЕТУ ОД СТРАНЕ ДРЖАВНИХ ОРГАНА (5336),0,0,0,0,0,565,565
БАЈИНА БАШТА,489,РАСХОДИ КОЈИ СЕ ФИНАНСИРАЈУ ИЗ СРЕДСТАВА ЗА РЕАЛИЗАЦИЈУ НАЦИОНАЛНОГ ИНВЕСТИЦИОНОГ ПЛАНА (5338),0,0,0,0,0,0,0
БАЈИНА БАШТА,511,ЗГРАДЕ И ГРАЂЕВИНСКИ ОБЈЕКТИ (од 5342 до 5345),0,0,166169,0,0,926,167095
БАЈИНА БАШТА,512,МАШИНЕ И ОПРЕМА (од 5347 до 5355),0,0,3371,0,0,3677,7048
БАЈИНА БАШТА,513,ОСТАЛЕ НЕКРЕТНИНЕ И ОПРЕМА (5357),0,0,0,0,0,47,47
БАЈИНА БАШТА,514,КУЛТИВИСАНА ИМОВИНА (5359),0,0,0,0,0,0,0
БАЈИНА БАШТА,515,НЕМАТЕРИЈАЛНА ИМОВИНА (5361),0,0,925,0,0,169,1094
БАЈИНА БАШТА,521,РОБНЕ РЕЗЕРВЕ (5364),0,0,0,0,0,0,0
БАЈИНА БАШТА,522,ЗАЛИХЕ ПРОИЗВОДЊЕ (од 5366 до 5368),0,0,0,0,0,31163,31163
БАЈИНА БАШТА,523,ЗАЛИХЕ РОБЕ ЗА ДАЉУ ПРОДАЈУ (5370),0,0,0,0,0,0,0
БАЈИНА БАШТА,531,ДРАГОЦЕНОСТИ (5373),0,0,0,0,0,0,0
БАЈИНА БАШТА,541,ЗЕМЉИШТЕ (5376),0,0,7531,0,0,475,8006
БАЈИНА БАШТА,542,РУДНА БОГАТСТВА (5378),0,0,0,0,0,0,0
БАЈИНА БАШТА,543,ШУМЕ И ВОДЕ (5380 + 5381),0,0,0,0,0,0,0
БАЈИНА БАШТА,551,НЕФИНАНСИЈСКА ИМОВИНА КОЈА СЕ ФИНАНСИРА ИЗ СРЕДСТАВА ЗА РЕАЛИЗАЦИЈУ НАЦИОНАЛНОГ ИНВЕСТИЦИОНОГ ПЛАНА (5384),0,0,0,0,0,0,0
БАЈИНА БАШТА,611,ОТПЛАТА ГЛАВНИЦЕ ДОМАЋИМ КРЕДИТОРИМА (од 5388 до 5396),0,0,0,0,0,0,0
БАЈИНА БАШТА,612,ОТПЛАТА ГЛАВНИЦЕ СТРАНИМ КРЕДИТОРИМА (од 5398 до 5404),0,0,0,0,0,0,0
БАЈИНА БАШТА,613,ОТПЛАТА ГЛАВНИЦЕ ПО ГАРАНЦИЈАМА (5406),0,0,0,0,0,0,0
БАЈИНА БАШТА,614,ОТПЛАТА ГЛАВНИЦЕ ЗА ФИНАНСИЈСКИ ЛИЗИНГ (5408),0,0,0,0,0,0,0
БАЈИНА БАШТА,621,НАБАВКА ДОМАЋЕ ФИНАНСИЈСКЕ ИМОВИНЕ (од 5411 до 5419),0,0,0,0,0,0,0
БАЈИНА БАШТА,622,НАБАВКА СТРАНЕ ФИНАНСИЈСКЕ ИМОВИНЕ (од 5421 до 5428),0,0,0,0,0,0,0
БАЈИНА БАШТА,623,НАБАВКА ФИНАНСИЈСКЕ ИМОВИНЕ КОЈА СЕ ФИНАНСИРА ИЗ СРЕДСТАВА ЗА РЕАЛИЗАЦИЈУ НАЦИОНАЛНОГ ИНВЕСТИЦИОНОГ ПЛАНА (5430),0,0,0,0,0,0,0
БЛАЦЕ,411,"ПЛАТЕ, ДОДАЦИ И НАКНАДЕ ЗАПОСЛЕНИХ (ЗАРАДЕ) (5174)",2509,0,40936,0,0,4127,47572
БЛАЦЕ,412,СОЦИЈАЛНИ ДОПРИНОСИ НА ТЕРЕТ ПОСЛОДАВЦА (од 5176 до 5178),452,0,7326,0,0,745,8523
БЛАЦЕ,413,НАКНАДЕ У НАТУРИ (5180),0,0,0,0,0,0,0
БЛАЦЕ,414,СОЦИЈАЛНА ДАВАЊА ЗАПОСЛЕНИМА (од 5182 до 5185),490,0,1325,0,0,438,2253
БЛАЦЕ,415,НАКНАДА ТРОШКОВА ЗА ЗАПОСЛЕНЕ (5187),0,0,1900,0,0,410,2310
БЛАЦЕ,416,НАГРАДЕ ЗАПОСЛЕНИМА И ОСТАЛИ ПОСЕБНИ РАСХОДИ (5189),0,0,423,0,0,0,423
БЛАЦЕ,417,ПОСЛАНИЧКИ ДОДАТАК (5191),0,0,0,0,0,0,0
БЛАЦЕ,418,СУДИЈСКИ ДОДАТАК (5193),0,0,0,0,0,0,0
БЛАЦЕ,421,СТАЛНИ ТРОШКОВИ (од 5196 до 5202),0,0,12622,0,0,3673,16295
БЛАЦЕ,422,ТРОШКОВИ ПУТОВАЊА (од 5204 до 5208),0,0,174,0,0,75,249
БЛАЦЕ,423,УСЛУГЕ ПО УГОВОРУ (од 5210 до 5217),0,0,5107,0,0,1092,6199
БЛАЦЕ,424,СПЕЦИЈАЛИЗОВАНЕ УСЛУГЕ (од 5219 до 5225),0,0,8797,0,0,727,9524
БЛАЦЕ,425,ТЕКУЋЕ ПОПРАВКЕ И ОДРЖАВАЊЕ (5227 + 5228),700,0,3847,0,0,1956,6503
БЛАЦЕ,426,МАТЕРИЈАЛ (од 5230 до 5238),82,0,2154,0,0,2283,4519
БЛАЦЕ,431,АМОРТИЗАЦИЈА НЕКРЕТНИНА И ОПРЕМЕ (од 5241 до 5243),0,0,0,0,0,112,112
БЛАЦЕ,432,АМОРТИЗАЦИЈА КУЛТИВИСАНЕ ИМОВИНЕ (5245),0,0,0,0,0,0,0
БЛАЦЕ,433,УПОТРЕБА ДРАГОЦЕНОСТИ (5247),0,0,0,0,0,0,0
БЛАЦЕ,434,УПОТРЕБА ПРИРОДНЕ ИМОВИНЕ (од 5249 до 5251),0,0,0,0,0,0,0
БЛАЦЕ,435,АМОРТИЗАЦИЈА НЕМАТЕРИЈАЛНЕ ИМОВИНЕ (5253),0,0,0,0,0,0,0
БЛАЦЕ,441,ОТПЛАТЕ ДОМАЋИХ КАМАТА (од 5256 до 5264),0,0,0,0,0,0,0
БЛАЦЕ,442,ОТПЛАТА СТРАНИХ КАМАТА (од 5266 до 5271),0,0,0,0,0,0,0
БЛАЦЕ,443,ОТПЛАТА КАМАТА ПО ГАРАНЦИЈАМА (5273),0,0,0,0,0,0,0
БЛАЦЕ,444,ПРАТЕЋИ ТРОШКОВИ ЗАДУЖИВАЊА (од 5275 до 5277),0,0,0,0,0,0,0
БЛАЦЕ,451,СУБВЕНЦИЈЕ ЈАВНИМ НЕФИНАНСИЈСКИМ ПРЕДУЗЕЋИМА И ОРГАНИЗАЦИЈАМА (5280 + 5281),0,0,44902,0,0,0,44902
БЛАЦЕ,452,СУБВЕНЦИЈЕ ПРИВАТНИМ ФИНАНСИЈСКИМ ИНСТИТУЦИЈАМА (5283 + 5284),0,0,0,0,0,0,0
БЛАЦЕ,453,СУБВЕНЦИЈЕ ЈАВНИМ ФИНАНСИЈСКИМ ИНСТИТУЦИЈАМА (5286 + 5287),0,0,0,0,0,0,0
БЛАЦЕ,454,СУБВЕНЦИЈЕ ПРИВАТНИМ ПРЕДУЗЕЋИМА (5289 + 5290),0,0,0,0,0,0,0
БЛАЦЕ,461,ДОНАЦИЈЕ СТРАНИМ ВЛАДАМА (5293 + 5294),0,0,0,0,0,0,0
БЛАЦЕ,462,ДОТАЦИЈЕ МЕЂУНАРОДНИМ ОРГАНИЗАЦИЈАМА (5296 + 5297),0,0,0,0,0,0,0
БЛАЦЕ,463,ТРАНСФЕРИ ОСТАЛИМ НИВОИМА ВЛАСТИ (5299 + 5300),0,0,758,0,0,0,758
БЛАЦЕ,464,ДОТАЦИЈЕ ОРГАНИЗАЦИЈАМА ОБАВЕЗНОГ СОЦИЈАЛНОГ ОСИГУРАЊА (5302 + 5303),0,0,0,0,0,0,0
БЛАЦЕ,465,ОСТАЛЕ ДОТАЦИЈЕ И ТРАНСФЕРИ (5305 + 5306),0,0,0,0,0,6,6
БЛАЦЕ,471,ПРАВА ИЗ СОЦИЈАЛНОГ ОСИГУРАЊА (ОРГАНИЗАЦИЈЕ ОБАВЕЗНОГ СОЦИЈАЛНОГ ОСИГУРАЊА) (од 5309 до 5311),0,0,0,0,0,0,0
БЛАЦЕ,472,НАКНАДЕ ЗА СОЦИЈАЛНУ ЗАШТИТУ ИЗ БУЏЕТА (од 5313 до 5321),0,0,3939,0,0,0,3939
БЛАЦЕ,481,ДОТАЦИЈЕ НЕВЛАДИНИМ ОРГАНИЗАЦИЈАМА (5324 + 5325),0,0,5675,0,0,0,5675
БЛАЦЕ,482,"ПОРЕЗИ, ОБАВЕЗНЕ ТАКСЕ И КАЗНЕ (од 5327 до 5329)",0,0,11,0,0,45,56
БЛАЦЕ,483,НОВЧАНЕ КАЗНЕ И ПЕНАЛИ ПО РЕШЕЊУ СУДОВА (5331),0,0,28,0,0,9,37
БЛАЦЕ,484,НАКНАДА ШТЕТЕ ЗА ПОВРЕДЕ ИЛИ ШТЕТУ НАСТАЛУ УСЛЕД ЕЛЕМЕНТАРНИХ НЕПОГОДА ИЛИ ДРУГИХ ПРИРОДНИХ УЗРОКА (5333 + 5334),0,0,670,0,0,0,670
БЛАЦЕ,485,НАКНАДА ШТЕТЕ ЗА ПОВРЕДЕ ИЛИ ШТЕТУ НАНЕТУ ОД СТРАНЕ ДРЖАВНИХ ОРГАНА (5336),0,0,900,0,0,0,900
БЛАЦЕ,489,РАСХОДИ КОЈИ СЕ ФИНАНСИРАЈУ ИЗ СРЕДСТАВА ЗА РЕАЛИЗАЦИЈУ НАЦИОНАЛНОГ ИНВЕСТИЦИОНОГ ПЛАНА (5338),0,0,0,0,0,0,0
БЛАЦЕ,511,ЗГРАДЕ И ГРАЂЕВИНСКИ ОБЈЕКТИ (од 5342 до 5345),19628,0,37197,0,0,1267,58092
БЛАЦЕ,512,МАШИНЕ И ОПРЕМА (од 5347 до 5355),0,0,1738,0,0,116,1854
БЛАЦЕ,513,ОСТАЛЕ НЕКРЕТНИНЕ И ОПРЕМА (5357),0,0,0,0,0,0,0
БЛАЦЕ,514,КУЛТИВИСАНА ИМОВИНА (5359),0,0,0,0,0,0,0
БЛАЦЕ,515,НЕМАТЕРИЈАЛНА ИМОВИНА (5361),0,0,108,0,0,85,193
БЛАЦЕ,521,РОБНЕ РЕЗЕРВЕ (5364),0,0,0,0,0,0,0
БЛАЦЕ,522,ЗАЛИХЕ ПРОИЗВОДЊЕ (од 5366 до 5368),0,0,0,0,0,0,0
БЛАЦЕ,523,ЗАЛИХЕ РОБЕ ЗА ДАЉУ ПРОДАЈУ (5370),0,0,0,0,0,156,156
БЛАЦЕ,531,ДРАГОЦЕНОСТИ (5373),0,0,0,0,0,0,0
БЛАЦЕ,541,ЗЕМЉИШТЕ (5376),0,0,0,0,0,0,0
БЛАЦЕ,542,РУДНА БОГАТСТВА (5378),0,0,0,0,0,0,0
БЛАЦЕ,543,ШУМЕ И ВОДЕ (5380 + 5381),0,0,0,0,0,0,0
БЛАЦЕ,551,НЕФИНАНСИЈСКА ИМОВИНА КОЈА СЕ ФИНАНСИРА ИЗ СРЕДСТАВА ЗА РЕАЛИЗАЦИЈУ НАЦИОНАЛНОГ ИНВЕСТИЦИОНОГ ПЛАНА (5384),0,0,0,0,0,0,0
БЛАЦЕ,611,ОТПЛАТА ГЛАВНИЦЕ ДОМАЋИМ КРЕДИТОРИМА (од 5388 до 5396),0,0,0,0,0,0,0
